trade_number,entry_time_et,entry_time_utc,source_status,route,active_symbol,quantity,tv_outcome,tv_pair_net,dna_tp,dna_sp,formula_tp,buy_entry_offset,sell_entry_offset,entry_offset_difference,geometry_mode,trigger_mode,start_offset_ms,status,raw_outcome,first_exit_direction,first_exit_reason,first_exit_time,buy_exit_reason,sell_exit_reason,buy_exit_price,sell_exit_price,raw_buy_net,raw_sell_net,raw_pair_net,buy_target,sell_target,buy_stop,sell_stop
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_DNA_SP,LEGACY_STAGE3F,1,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22847.75,22852.0,-109.0,-99.0,-208.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_DNA_SP,LEGACY_STAGE3F,100,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,UNRESOLVED,,,,,,,,,,,,,,
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_DNA_SP,LEGACY_STAGE3F,500,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,UNRESOLVED,,,,,,,,,,,,,,
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.090916277+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,TRADE_TOUCH,1,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.090916277+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,TRADE_TOUCH,100,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.124718131+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,TRADE_TOUCH,500,RESOLVED,BUY_TARGET,SELL,STOP,2025-08-03 22:00:00.553907655+00:00,TARGET,STOP,22860.0,22850.75,381.0,-49.0,332.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,MID_TOUCH,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,MID_TOUCH,1,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,MID_TOUCH,100,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.124718131+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,MID_TOUCH,500,RESOLVED,BUY_TARGET,SELL,STOP,2025-08-03 22:00:00.612599187+00:00,TARGET,STOP,22860.0,22850.75,381.0,-49.0,332.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,BBO_EXECUTABLE,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22847.75,22852.0,-109.0,-99.0,-208.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,BBO_EXECUTABLE,1,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22847.75,22852.0,-109.0,-99.0,-208.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,BBO_EXECUTABLE,100,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,UNRESOLVED,,,,,,,,,,,,,,
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,BBO_EXECUTABLE,500,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,UNRESOLVED,,,,,,,,,,,,,,
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,LEGACY_STAGE3F,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22847.75,22852.0,-109.0,-99.0,-208.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,LEGACY_STAGE3F,1,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22847.75,22852.0,-109.0,-99.0,-208.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,LEGACY_STAGE3F,100,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,UNRESOLVED,,,,,,,,,,,,,,
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,DNA_TP_REGISTRY_STOP,LEGACY_STAGE3F,500,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,UNRESOLVED,,,,,,,,,,,,,,
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,TRADE_TOUCH,0,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.090916277+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,TRADE_TOUCH,1,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.090916277+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,TRADE_TOUCH,100,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.124718131+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,TRADE_TOUCH,500,RESOLVED,BUY_TARGET,SELL,STOP,2025-08-03 22:00:00.553907655+00:00,TARGET,STOP,22860.0,22850.75,381.0,-49.0,332.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,MID_TOUCH,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,MID_TOUCH,1,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,MID_TOUCH,100,RESOLVED,DOUBLE_STOP,BUY,STOP,2025-08-03 22:00:00.124718131+00:00,STOP,STOP,22849.25,22850.75,-49.0,-49.0,-98.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,MID_TOUCH,500,RESOLVED,BUY_TARGET,SELL,STOP,2025-08-03 22:00:00.612599187+00:00,TARGET,STOP,22860.0,22850.75,381.0,-49.0,332.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,BBO_EXECUTABLE,0,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22847.75,22852.0,-109.0,-99.0,-208.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,BBO_EXECUTABLE,1,RESOLVED,DOUBLE_STOP,SELL,STOP,2025-08-03 22:00:00.011434951+00:00,STOP,STOP,22847.75,22852.0,-109.0,-99.0,-208.0,22860.0,22840.0,22849.25,22850.75
2175,2025-08-03 18:00:00,2025-08-03T22:00:00+00:00,VALIDATED_SOURCE,WEEKLY,NQU5,2,DOUBLE_STOP,-118.0,9.75,1.0,9.75,0.0,0.0,0.0,FORMULA_TP_REGISTRY_STOP,BBO_EXECUTABLE,100,UNRESOLVED_BOTH_WORKERS_EXIT_SAME_EVENT,UNRESOLVED,,,,,,,,,,,,,,
